SYMBOL,COMPANY,NSE_COMPANY_NAME,SERIES,PURPOSE,FACE_VALUE,EX_DATE,RECORD_DATE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
WOCKPHARMA,Wockhardt,Wockhardt Limited,EQ,Annual General Meeting,5,2019-08-02,,2019-08-06,2019-08-14,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 3 Per Share,1,2019-08-06,,2019-08-08,2019-08-13,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Re 0.25 Per Share,1,2019-08-08,2019-08-09,,,,
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Annual General Meeting/ Final Dividend - Rs 50 Per Share/ Special Dividend - Rs 15 Per Share,10,2019-08-13,,2019-08-16,2019-08-22,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 16 Per Share,2,2019-08-14,,2019-08-17,2019-08-23,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Dividend - Rs 5 Per Share,1,2019-08-14,2019-08-16,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 8 Per Share,2,2019-08-19,2019-08-20,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Annual General Meeting/Dividend - Rs 2.75 Per Share,1,2019-08-20,,2019-08-22,2019-08-28,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Annual General Meeting,1,2019-08-21,,2019-08-23,2019-08-29,,
GRANULES,Granules India,Granules India Limited,EQ,Annual General Meeting/ Dividend - Re 0.25 Per Share,1,2019-08-21,,2019-08-23,2019-08-29,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.25 Per Share,2,2019-08-22,2019-08-23,,,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Interim Dividend - Rs 12 Per Share,10,2019-08-22,2019-08-23,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Annual General Meeting,2,2019-08-29,,2019-09-03,2019-09-05,,
GLENMARK,Glenmark Pharmaceuticals,Glenmark Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend - Rs 2 Per Share,1,2019-09-19,,2019-09-21,2019-09-27,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Rs 0.25 Per Share,1,2019-10-31,2019-11-02,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend - Rs 13 Per Share,2,2019-11-15,2019-11-18,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 1.25 Per Share,1,2019-11-21,2019-11-23,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Buyback,1,2019-11-21,2019-11-22,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Re 1 Per Share,2,2019-11-21,2019-11-22,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Rights 11:83 @ Premium Rs 1298/-,2,2019-12-30,2019-12-31,,,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Re 0.25 Per Share,1,2020-01-30,2020-01-31,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend - Rs 22 Per Share,2,2020-02-13,2020-02-15,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 1.75 Per Share,1,2020-02-17,2020-02-18,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Interim Dividend - Rs 3 Per Share,1,2020-02-17,2020-02-18,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Interim Dividend - Rs 5 Per Share,1,2020-02-18,2020-02-20,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 3.5 Per Share,2,2020-02-24,2020-02-25,,,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Interim Dividend - Rs 16 Per Share,2,2020-02-25,2020-02-26,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Interim Dividend - Rs 10 Per Share,1,2020-03-03,2020-03-04,,,,
